"","factor","level","name","value"
"49","Addition","Nitrogen","CO2_flux_ug_g_d_mean",12.6951685317318
"50","Addition","Nitrogen","CO2_flux_ug_g_d_sd",5.91296115874119
"51","Addition","Nitrogen","cum_CO2_flux_ug_g_mean",2421.03624575542
"52","Addition","Nitrogen","cum_CO2_flux_ug_g_sd",1126.90886632003
"53","Addition","Carbon","N2ON_flux_ug_g_d_mean",0.01956501325
"54","Addition","Carbon","N2ON_flux_ug_g_d_sd",0.062171043680932
"55","Addition","Carbon","cum_N2O_flux_ug_g_mean",4.196286797875
"56","Addition","Carbon","cum_N2O_flux_ug_g_sd",14.1002105472357
"57","Addition","Control","N2ON_flux_ug_g_d_mean",0.0473985410833333
"58","Addition","Control","N2ON_flux_ug_g_d_sd",0.107866155686984
"59","Addition","Control","cum_N2O_flux_ug_g_mean",7.68519417920833
"60","Addition","Control","cum_N2O_flux_ug_g_sd",15.6281844724378
"61","Addition","Nitrogen","N2ON_flux_ug_g_d_mean",0.031581808625
"62","Addition","Nitrogen","N2ON_flux_ug_g_d_sd",0.083314714775795
"63","Addition","Nitrogen","cum_N2O_flux_ug_g_mean",7.64850556508333
"64","Addition","Nitrogen","cum_N2O_flux_ug_g_sd",17.1818667516293
"65","Addition","Carbon","net_min_rate_rel_mean",-0.290835435861554
"66","Addition","Carbon","net_min_rate_rel_sd",1.51266970817211
"67","Addition","Carbon","net_min_rate_abs_mean",4.33902009209131
"68","Addition","Carbon","net_min_rate_abs_sd",2.8408922776708
"69","Addition","Carbon","net_nitr_rate_rel_mean",-0.323097024150231
"70","Addition","Carbon","net_nitr_rate_rel_sd",1.5449921001999
"71","Addition","Carbon","net_nitr_rate_abs_mean",4.44652324999778
"72","Addition","Carbon","net_nitr_rate_abs_sd",2.89891043649884
"73","Addition","Carbon","no3n_mg_kg_1_mean",165.58679887627
"74","Addition","Carbon","no3n_mg_kg_1_sd",89.5769431504128
"75","Addition","Carbon","nh4n_mg_kg_1_mean",3.49002036853326
"76","Addition","Carbon","nh4n_mg_kg_1_sd",2.36915035089109
"77","Addition","Control","net_min_rate_rel_mean",-0.256349397381493
"78","Addition","Control","net_min_rate_rel_sd",1.37558281029225
"79","Addition","Control","net_min_rate_abs_mean",4.95943547443527
"80","Addition","Control","net_min_rate_abs_sd",2.8697681466569
"81","Addition","Control","net_nitr_rate_rel_mean",-0.31404973412586
"82","Addition","Control","net_nitr_rate_rel_sd",1.42345211653042
"83","Addition","Control","net_nitr_rate_abs_mean",5.04985855621903
"84","Addition","Control","net_nitr_rate_abs_sd",2.89998540696058
"85","Addition","Control","no3n_mg_kg_1_mean",182.737574635509
"86","Addition","Control","no3n_mg_kg_1_sd",89.6657738019884
"87","Addition","Control","nh4n_mg_kg_1_mean",4.39325194445701
"88","Addition","Control","nh4n_mg_kg_1_sd",5.08335017951923
"89","Addition","Nitrogen","net_min_rate_rel_mean",0.432067347710884
"90","Addition","Nitrogen","net_min_rate_rel_sd",3.36890035193182
"91","Addition","Nitrogen","net_min_rate_abs_mean",5.79840779463405
"92","Addition","Nitrogen","net_min_rate_abs_sd",3.79152122313045
"93","Addition","Nitrogen","net_nitr_rate_rel_mean",0.386720761310997
"94","Addition","Nitrogen","net_nitr_rate_rel_sd",3.39915928081174
"95","Addition","Nitrogen","net_nitr_rate_abs_mean",5.96926216442052
"96","Addition","Nitrogen","net_nitr_rate_abs_sd",3.78008950794107
"97","Addition","Nitrogen","no3n_mg_kg_1_mean",232.145186191287
"98","Addition","Nitrogen","no3n_mg_kg_1_sd",112.712127948454
"99","Addition","Nitrogen","nh4n_mg_kg_1_mean",3.38120629853816
"100","Addition","Nitrogen","nh4n_mg_kg_1_sd",2.51499594038463
"101","Treatment","0N","CO2_flux_ug_g_d_mean",14.476422342687
"102","Treatment","0N","CO2_flux_ug_g_d_sd",6.33294524019685
"103","Treatment","0N","cum_CO2_flux_ug_g_mean",2949.40935131377
"104","Treatment","0N","cum_CO2_flux_ug_g_sd",1074.15257750463
"105","Treatment","112N","CO2_flux_ug_g_d_mean",12.76122052556
"106","Treatment","112N","CO2_flux_ug_g_d_sd",4.88817104639427
"107","Treatment","112N","cum_CO2_flux_ug_g_mean",2462.59789940382
"108","Treatment","112N","cum_CO2_flux_ug_g_sd",995.951442041599
"109","Treatment","336N","CO2_flux_ug_g_d_mean",13.1298965956689
"110","Treatment","336N","CO2_flux_ug_g_d_sd",6.10867589938279
"111","Treatment","336N","cum_CO2_flux_ug_g_mean",2455.90012760669
"112","Treatment","336N","cum_CO2_flux_ug_g_sd",1195.66372701725
"113","Treatment","0N","N2ON_flux_ug_g_d_mean",0.00675407420833333
"114","Treatment","0N","N2ON_flux_ug_g_d_sd",0.017036340461264
"115","Treatment","0N","cum_N2O_flux_ug_g_mean",1.35088565616667
"116","Treatment","0N","cum_N2O_flux_ug_g_sd",3.66588613673953
"117","Treatment","112N","N2ON_flux_ug_g_d_mean",0.0118963138333333
"118","Treatment","112N","N2ON_flux_ug_g_d_sd",0.0362095818233206
"119","Treatment","112N","cum_N2O_flux_ug_g_mean",4.786692287625
"120","Treatment","112N","cum_N2O_flux_ug_g_sd",11.0749934041315
"121","Treatment","336N","N2ON_flux_ug_g_d_mean",0.0798949749166667
"122","Treatment","336N","N2ON_flux_ug_g_d_sd",0.133299711637584
"123","Treatment","336N","cum_N2O_flux_ug_g_mean",13.392408598375
"124","Treatment","336N","cum_N2O_flux_ug_g_sd",23.0273427875863
"125","Treatment","0N","net_min_rate_rel_mean",0.890192257321587
"126","Treatment","0N","net_min_rate_rel_sd",3.07624270917583
"127","Treatment","0N","net_min_rate_abs_mean",5.78956580367345
"128","Treatment","0N","net_min_rate_abs_sd",3.48623836980176
"129","Treatment","0N","net_nitr_rate_rel_mean",0.880785361168327
"130","Treatment","0N","net_nitr_rate_rel_sd",3.09074571282671
"131","Treatment","0N","net_nitr_rate_abs_mean",5.9224505198671
"132","Treatment","0N","net_nitr_rate_abs_sd",3.5529122149052
"133","Treatment","0N","no3n_mg_kg_1_mean",193.279317717753
"134","Treatment","0N","no3n_mg_kg_1_sd",113.605465924793
"135","Treatment","0N","nh4n_mg_kg_1_mean",3.30519598755462
"136","Treatment","0N","nh4n_mg_kg_1_sd",2.51385466760718
"137","Treatment","112N","net_min_rate_rel_mean",-0.287364657288622
"138","Treatment","112N","net_min_rate_rel_sd",1.5429463489552
"139","Treatment","112N","net_min_rate_abs_mean",4.77201556512303
"140","Treatment","112N","net_min_rate_abs_sd",3.29563215525354
"141","Treatment","112N","net_nitr_rate_rel_mean",-0.303641722803603
"142","Treatment","112N","net_nitr_rate_rel_sd",1.56543184676385
"143","Treatment","112N","net_nitr_rate_abs_mean",4.86945697187577
"144","Treatment","112N","net_nitr_rate_abs_sd",3.32254414702127
"145","Treatment","112N","no3n_mg_kg_1_mean",185.282880845814
"146","Treatment","112N","no3n_mg_kg_1_sd",103.514458565374
"147","Treatment","112N","nh4n_mg_kg_1_mean",3.36589816440015
"148","Treatment","112N","nh4n_mg_kg_1_sd",2.23432492550023
"149","Treatment","336N","net_min_rate_rel_mean",-0.717945085565128
"150","Treatment","336N","net_min_rate_rel_sd",1.60830582856239
"151","Treatment","336N","net_min_rate_abs_mean",4.53528199236417
"152","Treatment","336N","net_min_rate_abs_sd",2.80347836984515
"153","Treatment","336N","net_nitr_rate_rel_mean",-0.827569635329818
"154","Treatment","336N","net_nitr_rate_rel_sd",1.64673844466396
"155","Treatment","336N","net_nitr_rate_abs_mean",4.67373647889446
"156","Treatment","336N","net_nitr_rate_abs_sd",2.77956548650971
"157","Treatment","336N","no3n_mg_kg_1_mean",201.9073611395
"158","Treatment","336N","no3n_mg_kg_1_sd",86.5711596194702
"159","Treatment","336N","nh4n_mg_kg_1_mean",4.59338445957365
"160","Treatment","336N","nh4n_mg_kg_1_sd",5.09984729838419
